,Date,User,Content,Location
0,2020-01-30 19:59:08+00:00,KayColesJames,".@Heritage is also honored to be ranked one of the world’s “Best Artificial Intelligence Think Tanks,” a new category in the Global Go To Think Tank Index. AI has great promise but also potential dangers. We’re advising decision-makers how to prevent abuses &amp; use it responsibly.","Richmond, VA"
1,2020-01-30 18:25:25+00:00,euscreams,"Civil society and the private sector can be sharply at odds over issues like how to measure fairness in algorithms, and that creates additional challenges for regulators and campaigners seeking to curb bias in Artificial Intelligence, @Tilana145 of @HURIDOCS tells #AI panel.","Brussels, Belgium"
2,2020-01-30 18:15:04+00:00,euscreams,"Who do you report to if you're developing Artificial Intelligence products, MEP @samiraraf asks at Automating Bias in #AI panel. She calls on authorities including @EU_Commission to insert a role for ""fundamental rights"" in the development and launch of #AI products.","Brussels, Belgium"
3,2020-01-30 18:04:56+00:00,euscreams,"When it comes to Artificial Intelligence and the risk it perpetuates gender and racial biases, European lawmakers and @EU_Commission regulators should ask, ""who is deciding the input data?"" Dutch MEP @samiraraf tells panel on Automating Bias in #AI.","Brussels, Belgium"
4,2020-01-30 17:55:31+00:00,euscreams,"Artificial Intelligence has great potential for activists and campaigners but among the challenges will be building a machine to detect abuses like transphobic dogwhistle campaigning across languages and cultures, @KajalOdedra1 of @Change tells Automating Bias in #AI panel.","Brussels, Belgium"
5,2020-01-30 13:46:26+00:00,singh_ankur24,"@DefExpoIndia @SpokespersonMoD @drajaykumar_ias @IDSAIndia @CENJOWS @OfficialCLAWSIN India has no plans to lag in the race of equipping nations armed forces with uptodate AI and robots.CAIR is a DRDO lab, leading research in artificial intelligence for India.The organization has already developed myriad of robots with varying applications.","Lucknow, India"
6,2020-01-30 11:04:14+00:00,DarrenMuff,"Nice quote from the @NvidiaAI  inception meeting today in Helsinki :
“What’s the difference between machine learning and artificial intelligence?”

“If it’s written in Python then it’s probably ML,
....
If it’s written in PowerPoint then it’s probably AI”","Helsinki, Finland"
7,2020-01-30 09:50:43+00:00,MyNameIsWattay,"""Apple Watch use artificial intelligence (AI) technology, can detect when somebody fall, call 911 and/or emergence contact. ""

Thats not Artificial Interagency 
It a IF statements and Switch case 😎","Washington, USA"
8,2020-01-30 08:13:23+00:00,redkingperry,"SAN DIEGO, Jan. 21, 2020 (GLOBE NEWSWIRE) -- GBT Technologies Inc. (OTC PINK: GTCH) (""GBT”, or the “Company”), a company specializing in the development of Internet of Things (IoT) and Artificial Intelligence (AI) enabled networking and tracking technologies, $GTCH","California, USA"
9,2020-01-30 06:22:11+00:00,MortenBThomsen,@Carlsbergfondet Artificial IQ? I think this is just artificial intelligence (AI)...,"Copenhagen, Denmark"
10,2020-02-28 21:29:03+00:00,EJSMD,".@HamidGhanbariMD — 

Artificial intelligence does not give intelligence. It gives prediction. 

AI= better and cheaper prediction

#WAFib2020","Cincinnati, OH"
